MAG_U,MAGERR_U,MAG_G,MAGERR_G,MAG_R,MAGERR_R,MAG_I,MAGERR_I,MAG_Z,MAGERR_Z,Z
22.006958,0.505026,20.744083,0.066957,19.199970,0.019126,18.616041,0.014802,18.197672,0.015527,0.231975
22.508192,0.801323,21.982677,0.209523,21.668779,0.185844,21.336481,0.181337,21.296190,0.269456,0.085118
21.648447,0.363002,19.549864,0.022290,18.158270,0.007327,17.629473,0.005966,17.238655,0.006419,0.180012
22.058056,0.529362,21.537672,0.139069,19.905222,0.036621,19.312168,0.028104,18.938894,0.030731,0.301661
23.024088,1.288743,23.352018,0.739552,21.813383,0.212319,20.540682,0.087130,19.954035,0.078276,0.716064
21.076334,0.214321,19.751942,0.026850,18.673321,0.011775,18.169079,0.009807,17.791527,0.010681,0.133831
23.772022,2.566492,23.308521,0.710509,21.892410,0.228350,20.752111,0.105862,20.132252,0.092239,0.638294
21.110075,0.221086,19.454115,0.020408,18.217939,0.007741,17.703104,0.006385,17.299519,0.006789,0.144352
22.819719,1.067625,22.935232,0.503795,21.558645,0.167917,20.363741,0.074027,19.836012,0.070213,0.710600
22.816193,1.064162,22.536318,0.348890,20.967838,0.097448,19.879652,0.047398,19.399048,0.046950,0.639153
20.798306,0.165902,19.654654,0.024548,18.577177,0.010777,18.025967,0.008596,17.573656,0.008739,0.088983
23.090969,1.370625,23.303505,0.707234,22.321482,0.339023,21.149334,0.152626,20.513502,0.131043,0.745979
23.899267,2.885612,22.872631,0.475569,21.497301,0.158692,20.769413,0.107562,20.325312,0.110189,0.454628
22.225679,0.617736,21.533686,0.138559,19.870764,0.035477,19.247873,0.026488,18.846476,0.028223,0.334028
24.451017,4.796647,22.697544,0.404742,21.220098,0.122935,20.170240,0.061943,19.673695,0.060463,0.614650
20.315804,0.106378,18.794334,0.011115,17.720594,0.004896,17.259418,0.004243,16.866680,0.004557,0.101360
23.153286,1.451593,21.193220,0.101263,19.416798,0.023354,18.729641,0.016434,18.266800,0.016548,0.280318
21.829185,0.428751,22.468853,0.327870,21.910332,0.232150,21.181637,0.157235,20.760862,0.164573,0.788451
24.001554,3.170681,23.358072,0.743687,22.300518,0.332539,21.398483,0.191994,20.988363,0.202935,0.650945
23.160709,1.461552,23.417542,0.785556,21.769091,0.203832,20.552103,0.088051,19.953491,0.078236,0.651041
24.025019,3.239951,23.235144,0.664077,21.845579,0.218710,20.897072,0.120983,20.367548,0.114560,0.542795
23.246323,1.581465,22.782125,0.437533,21.617685,0.177301,20.790281,0.109650,20.263588,0.104099,0.543540
22.531561,0.818757,22.389879,0.304869,20.576950,0.067985,19.717564,0.040824,19.181610,0.038429,0.451073
22.711050,0.965942,22.673683,0.395945,21.068592,0.106923,19.990465,0.052491,19.482887,0.050719,0.542375
23.599510,2.189447,23.474388,0.827783,22.232750,0.312418,21.044947,0.138635,20.508308,0.130417,0.672209
24.525284,5.136231,23.628326,0.953876,21.906527,0.231338,20.634150,0.094963,20.060848,0.086368,0.647968
23.026157,1.291200,22.704279,0.407261,21.203709,0.121093,20.448214,0.080017,19.988680,0.080814,0.449588
22.911638,1.161947,23.264225,0.682105,21.628805,0.179126,20.528435,0.086153,19.924477,0.076173,0.541612
22.659332,0.921009,21.765598,0.171554,20.008352,0.040270,19.323584,0.028401,18.898941,0.029620,0.405052
24.590223,5.452806,23.148754,0.613286,21.689472,0.189420,20.747398,0.105403,20.109013,0.090285,0.552807
21.424969,0.295473,19.569059,0.022687,18.319719,0.008502,17.792297,0.006931,17.369232,0.007239,0.141286
23.121536,1.409761,21.540215,0.139395,19.982208,0.039311,19.298513,0.027752,18.797783,0.026985,0.222175
23.219090,1.542291,22.621166,0.377248,20.928532,0.093983,19.987410,0.052343,19.453831,0.049379,0.501916
20.627460,0.141747,18.803673,0.011211,17.737434,0.004973,17.253069,0.004218,16.865044,0.004550,0.071599
23.141495,1.435916,22.108147,0.235190,20.648014,0.072584,19.815130,0.044663,19.348886,0.044830,0.539136
23.019806,1.283670,20.787294,0.069675,19.383202,0.022642,18.880836,0.018890,18.517216,0.020840,0.238636
20.600550,0.138277,19.131008,0.015155,17.989698,0.006274,17.499907,0.005295,17.078176,0.005537,0.116908
21.136644,0.226563,19.509972,0.021486,18.370012,0.008905,17.891554,0.007595,17.499092,0.008159,0.139875
23.388014,1.801924,22.602613,0.370857,21.053068,0.105405,20.296064,0.069554,19.788702,0.067219,0.452838
22.145552,0.573788,20.983162,0.083450,19.372353,0.022417,18.761709,0.016927,18.332476,0.017579,0.257779
21.920269,0.466271,20.005810,0.033922,18.533257,0.010350,17.922081,0.007811,17.451853,0.007812,0.178099
23.797676,2.627855,22.566805,0.358825,21.296431,0.131889,20.686642,0.099667,20.255529,0.103330,0.510819
24.068993,3.373863,21.716206,0.163924,19.830376,0.034181,19.160154,0.024432,18.712898,0.024956,0.374101
23.761879,2.542626,22.718092,0.412475,21.359116,0.139728,20.404720,0.076875,19.903645,0.074726,0.576245
25.071020,8.490612,22.410494,0.310713,20.762226,0.080636,19.713053,0.040655,19.209095,0.039414,0.560542
26.794029,41.509029,23.149288,0.613587,21.303381,0.132736,20.367977,0.074317,19.926146,0.076290,0.510477
23.755281,2.527220,21.428288,0.125741,19.627357,0.028352,18.998356,0.021049,18.612268,0.022747,0.314224
