index,obsid,RA_(J2000),Dec_(J2000)
1609,33545006,191.27722,-0.44353
1610,33548002,191.28267,-0.44918
1611,33548001,191.28431,-0.45611
1612,33545021,191.28571,-0.42568
1613,33545003,191.28595,-0.43276
1614,33548003,191.2887,-0.46165
1615,33545007,191.29553,-0.43121
1616,33545022,191.29637,-0.42587
1617,33545019,191.29912,-0.44676
1618,33545013,191.30011,-0.45244
1619,33545017,191.30228,-0.45571
1620,33545002,191.30312,-0.44003
1621,33545024,191.30455,-0.46289
1622,33545012,191.30544,-0.46207
1623,33545023,191.30593,-0.4686
1624,33545015,191.3063,-0.43721
1625,33545018,191.31208,-0.45382
1626,33545025,191.31251,-0.42564
1627,33545009,191.31468,-0.45501
1628,33545010,191.31643,-0.44856
1629,33545016,191.31789,-0.45231
1630,33545027,191.31972,-0.48091
1631,33545011,191.32079,-0.43149
1632,33545020,191.32552,-0.45125
1633,33545026,191.32889,-0.4621
1634,48040004,192.95083,-0.60049
1636,48040002,192.96243,-0.5842
1640,34284018,193.77681,0.08725
1641,34284013,193.79218,0.08064
1642,34284014,193.79329,0.08231
1643,34284009,193.79419,0.08886
1644,34284026,193.7958,0.12972
1645,34284020,193.81096,0.03783
1646,34284005,193.81412,0.11618
1647,34284012,193.81442,0.09871
1648,34284002,193.81446,0.10751
1649,34284001,193.81815,0.09997
1650,34284024,193.81849,0.10984
1651,34284006,193.81858,0.12231
1652,34284019,193.81905,0.01858
1653,34284010,193.81951,0.11306
1654,34284011,193.82162,0.09191
1655,34284021,193.82166,0.10871
1656,34284016,193.83948,0.08113
1657,34284017,193.84104,0.13655
1658,34284023,193.84189,0.08364
1659,34284022,193.84299,0.0778
1661,34284027,193.84736,0.06175
1662,34284007,193.85974,0.14359
1670,30030001,195.17644,1.02334
1671,30030002,195.17902,1.03363
1674,36964001,197.19105,-0.83051
1675,36965004,197.19178,-0.79344
1676,36964002,197.19744,-0.83254
1677,36964003,197.20368,-0.8292
1679,36965005,197.21698,-0.7829
1681,41394003,198.14794,0.83176
1682,41394002,198.14901,0.83547
1683,41394006,198.1568,0.82599
1684,41394004,198.16857,0.85114
1685,41394005,198.17421,0.84698
1686,34521002,198.52025,0.13078
1687,34521001,198.53795,0.10664
1688,34521004,198.555,0.08325
1689,34521003,198.56991,0.09077
1690,82072002,199.54943,-0.51416
1691,82072004,199.55639,-0.50037
1692,82072005,199.56044,-0.5081
1694,82072003,199.58294,-0.5122
1698,36966004,200.36436,0.34115
1699,36966003,200.36794,0.33293
1701,82073003,200.91563,1.12668
1703,82073004,200.94018,1.14221
1705,67975001,204.98981,-0.0157
1707,67975006,204.9939,-0.00952
1710,67975007,205.01061,-0.00818
1714,32281002,207.79422,0.51325
1715,32281001,207.79976,0.50692
1721,591390004,209.25713,0.62338
1722,591390007,209.29297,0.62849
1723,591390010,209.29483,0.64824
1724,591390009,209.2994,0.62077
1725,591390002,209.31177,0.58882
1726,591390003,209.31224,0.60474
1727,591390001,209.31762,0.58898
1728,591390011,209.3214,0.60513
1729,591390008,209.3315,0.59992
1737,75249005,210.00501,-0.00046
1744,75249002,210.0342,0.03821
1745,75249001,210.03662,0.01666
1761,30902011,215.54349,-0.44965
1762,30902001,215.54888,-0.42152
1763,30902049,215.54917,-0.35497
1764,30902051,215.5512,-0.33732
1765,30902057,215.55265,-0.36629
1767,30902058,215.56736,-0.35798
1768,30902059,215.56841,-0.38802
1770,30902024,215.57438,-0.42733
1771,30902055,215.576,-0.36877
1772,30902042,215.57616,-0.35929
1773,30902007,215.57943,-0.45264
1774,30902047,215.58095,-0.35366
1775,30902013,215.58155,-0.43039
1776,30902014,215.58158,-0.43112
1777,30902019,215.58205,-0.42258
1778,30902043,215.58211,-0.34861
1779,30902027,215.58247,-0.41851
1780,30902040,215.58312,-0.37135
1781,30902041,215.58537,-0.35921
1782,30902015,215.5862,-0.42627
1783,30902052,215.58655,-0.34857
1784,30902053,215.5869,-0.37012
1785,30902008,215.58728,-0.4459
1786,30902021,215.58758,-0.41774
1787,30902025,215.5887,-0.41274
1788,30902006,215.59041,-0.43678
1789,30902004,215.59104,-0.44167
1790,30902026,215.5912,-0.40399
1791,30902018,215.59139,-0.40581
1792,30902017,215.59434,-0.42761
1793,30902038,215.5946,-0.42666
1794,30902031,215.59935,-0.41472
1795,30902022,215.59999,-0.42863
1796,30902039,215.60268,-0.42284
1797,30902023,215.60317,-0.42488
1798,30902032,215.60342,-0.39008
1799,30902056,215.60451,-0.38301
1800,30902012,215.60472,-0.3817
1801,30902010,215.60557,-0.38402
1802,30902016,215.606,-0.41916
1803,30902035,215.60607,-0.39688
1804,30902029,215.60702,-0.41077
1805,30902036,215.60945,-0.39301
1806,30902037,215.61077,-0.41873
1807,30902048,215.61188,-0.36882
1808,30902030,215.61294,-0.3989
1810,30902044,215.61578,-0.37949
1811,30902005,215.61922,-0.39661
1812,30902045,215.62606,-0.38782
1813,30902054,215.62862,-0.35915
1814,30902046,215.64438,-0.38578
1815,30902002,215.6461,-0.41391
1816,30902028,215.67019,-0.42105
1817,30902020,215.67731,-0.42765
1819,91869003,215.96322,-0.42801
1820,40829003,215.98065,-0.41706
1821,91869004,215.98865,-0.46034
1822,40829004,216.00075,-0.4064
1823,40829002,216.01505,-0.42227
1824,40829001,216.01916,-0.42114
1825,91869005,216.03566,-0.43286
1826,91869006,216.04741,-0.42647
1827,91869002,216.05096,-0.45391
1831,91700012,217.2313,1.24824
1832,91700029,217.23238,1.26679
1833,91700017,217.23866,1.2639
1834,91700014,217.24766,1.26553
1835,91700013,217.25788,1.26418
1836,91700022,217.26395,1.24128
1837,91700009,217.26677,1.26971
1838,91700011,217.2699,1.26711
1839,91700016,217.32926,1.23326
1840,91700005,217.33605,1.21732
1841,91700006,217.3472,1.22673
1842,38288004,218.84833,-0.90057
1847,38288005,218.89356,-0.87752
1848,49741001,219.48821,-0.38462
1849,49741002,219.51593,-0.41569
1851,68061002,219.99234,-0.01043
1855,68070001,219.99747,0.01093
1856,74282010,219.99908,-0.00917
1857,68077001,219.99953,-0.02696
1861,74282002,220.0077,-0.03214
1862,68061001,220.00805,-0.0008
1863,74282003,220.00939,-0.00146
1865,74282001,220.0111,-0.03159
1869,305288001,220.01968,-0.16477
1871,305288003,220.04545,-0.17005
1872,305288008,220.053,-0.17885
1873,305288006,220.06178,-0.16876
1874,305288007,220.06255,-0.17383
1875,305288005,220.06873,-0.19212
1876,305288004,220.07522,-0.15948
1877,305288000,220.07784,-0.16964
1878,305288002,220.0885,-0.18744
1885,86034002,221.45978,-1.25184
1886,86034003,221.46449,-1.21483
1903,74227037,224.98299,0.00036
1905,74227020,224.9837,0.00276
1911,74227015,224.98897,-0.00324
1917,74227011,224.99783,-0.00924
1922,68110001,225.00834,-0.02219
1926,74227002,225.01865,-0.00108
1930,671828005,225.91728,0.05701
1931,671828001,225.93812,0.10062
1932,671828000,225.93868,0.09799
1933,671828004,225.99495,0.0964
1934,85581003,227.1055,-0.25394
1935,85581002,227.12718,-0.24247
1937,91562005,227.1302,-0.24166
1938,91562007,227.13471,-0.29427
1940,91562006,227.14072,-0.28706
1941,91562004,227.14309,-0.27565
1943,81175001,227.20048,-0.12976
1945,81175002,227.23029,-0.15286
1953,91563001,229.17688,-0.88071
1954,91563002,229.19633,-0.8454
1955,91563005,229.20305,-0.88599
1956,91563006,229.22527,-0.88454
1957,91563007,229.22555,-0.8877
1960,91563003,229.24119,-0.86178
1961,91563004,229.24179,-0.88353
1971,74183003,229.97464,-0.00957
1979,74183002,229.99636,0.00963
1981,74183001,230.0066,-0.00258
1988,74183004,230.0239,-0.02297
1995,211957004,232.8202,0.32911
1998,211957005,232.8589,0.30676
1999,211957001,232.86397,0.30504
2000,211957007,232.87052,0.31118
2001,211957006,232.8731,0.3162
2002,211957000,232.87884,0.27155
2003,211957003,232.88518,0.28884
2004,82104001,234.71676,-0.24526
2009,45845004,234.78565,0.36066
2016,74261002,234.97708,-0.00488
2019,74261003,234.98371,0.00961
2020,74261007,234.98376,0.0073
2025,68738002,234.98829,-0.00581
2030,74261006,234.99891,0.012
2031,74261011,235.00063,0.00719
2032,74261005,235.00483,-0.01592
2034,68048001,235.0062,-0.01006
2036,74261004,235.00918,-0.01267
2039,34478007,235.08673,0.88683
2040,34478010,235.08698,0.86101
2041,34478002,235.095,0.92442
2042,34478001,235.10684,0.91664
2043,34478005,235.11302,0.92437
2044,34478006,235.11402,0.92478
2045,34478009,235.11681,0.89959
2046,34478004,235.13515,0.85205
2047,34478008,235.14482,0.90296
2048,34478003,235.15642,0.8959
2049,550906001,236.35473,-0.34128
2050,550906000,236.40136,-0.36122
2052,35440002,239.19316,-0.15079
2053,35440003,239.22741,-0.19607
2056,74222003,239.9693,0.01878
2065,74222002,239.98454,0.00071
2073,74222006,240.00751,0.03173
2076,39780002,241.23245,-0.28831
2077,39780001,241.25218,-0.28757
2078,37281002,241.77997,1.09457
2079,37281001,241.79217,1.11163
2082,35449002,242.60856,-1.04468
2083,35449001,242.61634,-1.04535
2088,32927006,244.12205,-0.59422
2092,32927001,244.14336,-0.59311
2093,32927004,244.16296,-0.57492
2095,32927002,244.17498,-0.58023
2096,39733001,244.19759,-0.68801
2097,39733002,244.20887,-0.69505
2106,68239001,244.98277,0.12042
2108,68268001,244.9939,0.02955
2114,45611006,247.39415,0.53878
2117,45611007,247.40806,0.55486
2120,82105002,249.30101,-0.31294
2121,45740002,249.3332,-0.30814
2123,45740004,249.34837,-0.30447
2124,45740001,249.35604,-0.29107
2125,45740003,249.36476,-0.30056
2126,45846002,249.28794,0.41881
2138,339696000,251.61672,0.09832
2139,339696001,251.65096,0.08908
2164,40636001,262.6525,0.41751
2165,40636002,262.66181,0.4315
2168,74438014,264.9757,0.00288
2175,74438004,264.99019,0.00182
2178,74438003,265.00935,-0.01207
2179,74438002,265.0096,-0.03442
2185,74438006,265.02187,0.02117
2190,75123016,269.971,0.01632
2198,75123014,269.98353,0.00745
2222,84169002,270.91094,-0.27361
2223,84169001,270.94185,-0.23457
2224,91472004,273.73926,-0.26305
2225,90990002,273.74543,-0.29531
2226,90990001,273.74859,-0.30252
2227,91472005,273.75706,-0.25324
2228,91472002,273.76782,-0.30678
2229,91472006,273.77338,-0.27096
2230,91472003,273.78055,-0.26245
2231,91472001,273.82651,-0.3268
2239,75125009,275.01728,0.00939
2244,318101005,276.79484,1.15048
2245,318101006,276.80369,1.17212
2246,318101002,276.8123,1.14916
2247,318101003,276.8225,1.15642
2248,318101004,276.84029,1.16947
2249,318101001,276.84934,1.19003
2250,318101000,276.88525,1.16506
2251,37647002,277.18903,0.14523
2256,47284004,279.77453,-1.01644
2257,47284003,279.77601,-1.02441
2258,47284005,279.77838,-1.02893
2259,47284006,279.78034,-1.02871
2264,68953001,279.98295,-0.0101
2265,74722001,279.9848,0.01588
2267,68953002,279.98595,-0.00856
2269,74722009,279.98679,0.0102
2271,74722004,279.98863,-0.00753
2272,74722007,279.9893,-0.03368
2273,74722002,279.9958,-0.01455
2274,74722008,280.00057,0.01671
2276,74722005,280.01557,-0.00496
2277,74722003,280.01797,-0.00475
2278,74722006,280.03176,-0.03773
2279,32472010,281.42193,-0.64766
2280,32472012,281.42954,-0.65736
2281,32472005,281.43414,-0.63475
2282,32472001,281.44035,-0.65179
2283,32472007,281.44063,-0.64608
2284,32472006,281.44146,-0.65691
2285,32472008,281.44883,-0.64436
2286,32472003,281.4519,-0.64186
2287,32472009,281.45488,-0.64769
2289,32472002,281.45802,-0.64144
2290,32472011,281.47104,-0.63819
2291,32472004,281.49027,-0.68655
2296,44555002,281.97671,0.14752
2297,44555003,281.99107,0.19703
2298,37061002,282.09086,-0.75156
2299,37061003,282.09653,-0.75531
2300,44536001,282.12159,-0.84941
2302,44543001,282.21763,-0.59677
2303,44549001,282.09479,-0.15731
2304,44556002,282.1866,0.04488
2305,35092002,282.21911,-0.01142
2307,35092001,282.29938,-0.01145
2309,44576002,282.367,0.89677
2310,44537002,282.34349,-0.89414
2311,456014022,282.46884,-0.95842
2312,456014028,282.47512,-0.92401
2313,456014016,282.48296,-0.95118
2314,456014026,282.48445,-0.92572
2315,456014025,282.48486,-0.91707
2316,456014015,282.48958,-0.94712
2317,456014001,282.49397,-0.93835
2318,456014010,282.49407,-0.95149
2319,456014024,282.49462,-0.96042
2320,456014021,282.4949,-0.95684
2321,44544001,282.49753,-0.72437
2322,456014004,282.49912,-0.94067
2323,456014012,282.49985,-0.96488
2325,456014005,282.50226,-0.94785
2326,456014019,282.50248,-0.98374
2328,456014008,282.50559,-0.96744
2329,456014011,282.506,-0.96969
2330,456014013,282.51546,-0.92639
2331,456014007,282.5161,-0.95869
2332,456014003,282.51928,-0.97862
2333,456014014,282.5245,-0.93085
2334,456014017,282.53263,-0.95375
2335,456014002,282.54437,-0.99778
2336,456014000,282.55836,-0.94062
2337,44538002,282.60247,-1.04793
2338,44551001,282.58942,-0.47727
2339,84838003,282.62124,-0.35199
2340,84838002,282.6225,-0.33371
2341,84838001,282.62712,-0.35284
2342,44558001,282.7353,-0.19601
2343,32512004,282.76968,-0.00052
2344,32512005,282.77515,-0.04014
2345,524542016,282.78286,-0.00929
2346,32512001,282.78608,-0.01144
2347,524542012,282.78675,-0.00987
2348,524542005,282.7909,-0.02253
2349,524542014,282.79169,-0.03202
2350,524542013,282.79794,-0.04545
2351,524542010,282.80107,-0.02305
2352,524542015,282.80357,-0.01481
2353,524542000,282.8064,0.03164
2354,524542003,282.80779,-0.00116
2355,32512002,282.81445,-0.03037
2356,524542007,282.81593,-0.06133
2357,524542001,282.81617,-0.03172
2358,524542002,282.81779,0.00392
2359,524542011,282.81932,-0.04916
2360,524542009,282.82242,-0.04323
2361,524542008,282.83076,-0.05996
2362,44565001,282.84127,0.01566
2363,524542004,282.84273,0.007
2364,524542017,282.84376,-0.00224
2365,32565017,283.13095,0.58173
2368,44579001,283.1462,0.54836
2372,32565012,283.17935,0.54522
2373,32565010,283.18507,0.52147
2379,32565016,283.1952,0.56094
2382,44586001,283.24739,0.7804
2383,44580001,283.36079,0.4321
2384,44568002,283.57918,-0.31657
2386,44582002,283.88277,0.11679
2413,84185001,287.81233,1.03307
2415,35323028,287.7467,0.56298
2416,35323027,287.74713,0.56896
2417,32888042,287.74906,0.52004
2418,35323029,287.75002,0.59237
2419,31766020,287.75163,0.63789
2420,32888040,287.75382,0.57341
2421,31766073,287.75393,0.57793
2422,31766072,287.75569,0.5839
2423,32888044,287.75609,0.56362
2424,32888004,287.75825,0.56789
2425,32888047,287.75945,0.56715
2426,33665068,287.76207,0.57579
2427,32888016,287.76302,0.58906
2428,30796232,287.76381,0.59171
2429,32888046,287.76383,0.56399
2430,31766078,287.76448,0.60151
2431,33665059,287.76512,0.59374
2432,32888018,287.76523,0.57252
2433,32888003,287.76682,0.57088
2434,33665056,287.7673,0.58159
2435,32888017,287.7675,0.58107
2436,32888041,287.76762,0.54847
2437,35323005,287.76866,0.58189
2438,32888011,287.76884,0.58024
2439,33665062,287.76938,0.58537
2440,33665067,287.7695,0.5703
2441,33665065,287.77015,0.57545
2442,32888023,287.77022,0.58259
2443,35323026,287.77091,0.55659
2444,33665043,287.77157,0.59642
2445,31766035,287.77234,0.65571
2446,31766014,287.77251,0.57146
2447,32888014,287.77275,0.57684
2448,31766006,287.7737,0.56827
2449,32888002,287.77374,0.58002
2450,30796036,287.77382,0.60409
2451,33665048,287.77385,0.54734
2452,33665045,287.77434,0.59443
2453,31766069,287.77478,0.59339
2454,35323021,287.77479,0.5298
2455,35323001,287.77485,0.57562
2456,31766030,287.77531,0.62772
2457,31766033,287.77537,0.61248
2458,32888039,287.77548,0.57468
2459,31766009,287.7756,0.55577
2460,33665057,287.77578,0.58929
2461,33665064,287.7758,0.57426
2462,33665054,287.77639,0.57631
2463,30796252,287.77677,0.5804
2465,31766067,287.77776,0.58165
2466,33665063,287.77784,0.56931
2467,33665061,287.77809,0.58383
2468,30796032,287.77828,0.59288
2470,33665058,287.77952,0.57195
2471,31766013,287.77985,0.58956
2472,31766007,287.77994,0.58204
2473,32888020,287.78025,0.57536
2474,32888015,287.78048,0.58968
2475,33665052,287.78102,0.58189
2476,30796242,287.78145,0.60046
2477,31766066,287.78165,0.59891
2478,33665046,287.78175,0.57232
2479,31766012,287.78183,0.55974
2480,31766015,287.78185,0.55756
2481,33665053,287.78205,0.56756
2482,32888008,287.78253,0.56991
2483,31766074,287.78284,0.61235
2484,32888043,287.78414,0.57376
2485,31766071,287.78437,0.57791
2486,31766068,287.78477,0.58536
2487,35323003,287.78531,0.58301
2488,32888025,287.78536,0.64474
2489,32888032,287.78539,0.68665
2490,30796240,287.78556,0.59915
2491,32888035,287.78558,0.57547
2492,31766021,287.7856,0.59002
2493,31766081,287.78607,0.63744
2494,33665040,287.78675,0.58278
2495,32888013,287.7873,0.57454
2496,31766023,287.78736,0.59969
2497,31766075,287.78781,0.59309
2498,31766027,287.78852,0.58477
2499,30796243,287.7887,0.61469
2500,35323004,287.78881,0.61725
2501,30796248,287.78894,0.58834
2502,35323011,287.78936,0.55626
2503,35323019,287.78937,0.56971
2504,30796237,287.78957,0.63362
2505,35323012,287.78959,0.54992
2506,32888038,287.78963,0.55082
2507,35323014,287.78968,0.53798
2508,35323007,287.79057,0.61771
2509,32888010,287.7907,0.57393
2510,31766029,287.79072,0.63461
2511,31766008,287.79105,0.59442
2512,32888019,287.79127,0.60031
2513,32888007,287.79147,0.58546
2514,33665069,287.79157,0.59027
2515,30796235,287.79167,0.62252
2516,33665001,287.79215,0.60451
2517,31766024,287.79223,0.58301
2518,32888024,287.79224,0.63668
2519,31766011,287.79241,0.57774
2520,33665002,287.79388,0.55756
2521,30796253,287.794,0.61088
2522,32888001,287.79451,0.536
2523,30796236,287.79452,0.63778
2524,30796005,287.79488,0.58883
2525,33665072,287.79519,0.5944
2526,30796245,287.79577,0.61313
2527,33665060,287.79587,0.56917
2528,32888012,287.79589,0.60519
2529,31766063,287.79605,0.56194
2531,31766079,287.7964,0.59978
2532,35323009,287.79642,0.55056
2533,35323022,287.79687,0.5908
2534,31766022,287.79701,0.58985
2535,33665034,287.79739,0.57988
2536,35323008,287.79777,0.57416
2537,33665049,287.7997,0.58444
2538,32888005,287.79995,0.53616
2539,32888045,287.79999,0.56181
2540,33665050,287.80082,0.54839
2541,35323013,287.80177,0.57357
2542,33665070,287.80192,0.60771
2543,31766059,287.80195,0.57782
2544,35323025,287.80237,0.54806
2545,33665032,287.80246,0.57867
2546,31766070,287.80285,0.59241
2547,35323015,287.80287,0.55904
2548,30796246,287.80301,0.62771
2549,33665036,287.80306,0.53319
2550,33665071,287.80307,0.6022
2551,31766061,287.80364,0.55751
2552,35323016,287.80404,0.53984
2553,31766005,287.80439,0.60189
2554,32888022,287.80469,0.58666
2555,35323006,287.80572,0.56173
2556,31766010,287.80579,0.58663
2557,35323024,287.80599,0.5555
2559,32888006,287.8062,0.55897
2560,30796009,287.80767,0.57293
2561,30796026,287.80785,0.62511
2562,31766032,287.80813,0.61928
2563,30796238,287.80818,0.63872
2564,30796231,287.80877,0.63608
2565,30796250,287.8088,0.60524
2566,32888009,287.80885,0.61589
2567,35323017,287.80914,0.56934
2568,32888034,287.80988,0.57763
2569,32888021,287.81008,0.59232
2570,31766060,287.8102,0.58613
2571,31766026,287.81092,0.59971
2572,31766018,287.81107,0.61169
2573,31766065,287.81135,0.57439
2574,33665038,287.81172,0.60102
2575,30796244,287.81195,0.63096
2576,30796234,287.81202,0.63493
2577,33665031,287.81235,0.58065
2578,33665051,287.81272,0.55698
2579,33665037,287.81334,0.54347
2580,30796019,287.81336,0.59098
2581,30796014,287.81344,0.56259
2584,35323023,287.8144,0.57355
2586,33665003,287.81526,0.60126
2587,31766056,287.81574,0.51291
2588,32888026,287.81576,0.60416
2589,31766076,287.81645,0.6147
2591,33665005,287.81735,0.61381
2592,30796249,287.81742,0.60375
2593,31766077,287.81811,0.60191
2594,31766037,287.81854,0.62409
2595,35323020,287.81866,0.54075
2596,33665004,287.81883,0.58733
2597,30796241,287.81911,0.63572
2598,31766036,287.81929,0.61659
2599,33665033,287.81953,0.55231
2600,31766062,287.81983,0.56832
2601,31766039,287.82163,0.63618
2602,30796021,287.82174,0.56671
2603,33665035,287.82238,0.57243
2604,31766080,287.82254,0.62396
2606,30796031,287.82365,0.61005
2607,30796034,287.82416,0.60197
2608,31766034,287.82422,0.61777
2609,30796033,287.82441,0.6049
2610,30796251,287.82477,0.61568
2611,30796006,287.82495,0.59149
2612,30796239,287.82567,0.67327
2613,33665014,287.82639,0.58089
2614,33665020,287.8265,0.60829
2615,33665039,287.82657,0.55652
2616,31766025,287.82693,0.60476
2617,30796004,287.82702,0.59413
2618,30796003,287.82716,0.60992
2619,33665017,287.82719,0.60502
2620,31766004,287.82731,0.58736
2621,31766031,287.82734,0.64527
2622,31766002,287.82777,0.59031
2623,30796013,287.82809,0.61048
2624,33665044,287.82826,0.55859
2625,33665018,287.82841,0.58261
2626,33665027,287.82879,0.60484
2627,30796023,287.83081,0.57351
2628,33665011,287.83115,0.57914
2629,30796029,287.83127,0.60488
2630,31766064,287.83155,0.55233
2631,31766017,287.83157,0.59366
2632,31766058,287.83182,0.54341
2633,33665010,287.83246,0.58114
2634,33665021,287.8331,0.59337
2635,33665013,287.8341,0.5768
2636,33665023,287.83463,0.55973
2637,31766038,287.83495,0.61539
2638,30796025,287.83647,0.58872
2639,31766016,287.83726,0.61566
2640,30796001,287.83737,0.61986
2641,31766049,287.83758,0.58579
2642,31766003,287.83828,0.55236
2643,32888036,287.83901,0.56921
2644,30796012,287.83904,0.55949
2645,32888037,287.83931,0.55756
2646,31766043,287.83946,0.57009
2647,31766053,287.83975,0.57666
2648,33665016,287.83983,0.58903
2649,33665024,287.84058,0.58082
2650,31766040,287.84215,0.59022
2651,30796028,287.84283,0.59631
2652,31766001,287.84346,0.54781
2653,30796007,287.84358,0.58689
2654,30796022,287.84454,0.58455
2655,33665022,287.84505,0.58549
2656,31766047,287.84533,0.57931
2657,31766046,287.84548,0.58696
2658,31766042,287.8463,0.57722
2659,30796020,287.84678,0.57217
2660,33665008,287.84744,0.59935
2661,33665019,287.84838,0.58808
2662,33665028,287.84844,0.56855
2663,33665007,287.84895,0.60845
2664,31766045,287.85004,0.58326
2665,33665029,287.8501,0.58527
2666,31766044,287.85026,0.58588
2667,33665012,287.85257,0.58709
2669,30796027,287.85608,0.58821
2670,31766050,287.8564,0.58103
2671,31766057,287.857,0.57175
2672,33665006,287.85716,0.58847
2673,31766054,287.85915,0.52386
2674,32888029,287.85956,0.52459
2675,30796015,287.85961,0.60963
2676,31766041,287.8599,0.59002
2677,31766051,287.86299,0.5256
2678,33665025,287.86321,0.58358
2679,33665026,287.8637,0.58665
2680,31766048,287.86398,0.56141
2681,30796002,287.86548,0.57928
2682,33665015,287.86548,0.58998
2683,31766052,287.86574,0.53474
2684,35323010,287.86603,0.52574
2685,30796230,287.86798,0.60832
2686,33665030,287.8702,0.56756
2687,35323002,287.8704,0.57981
2688,33665009,287.87174,0.57984
2689,31766055,287.87703,0.52343
2690,32888027,287.87804,0.57894
2691,30796018,287.89808,0.62357
2692,30796017,287.89968,0.59843
2693,30796011,287.90725,0.58994
2694,30796016,287.90876,0.61328
2708,90511002,290.895,0.60755
2709,90511001,290.8985,0.60711
2710,91479007,290.90329,0.64072
2711,91479003,290.90413,0.6439
2712,91479008,290.9065,0.63988
2713,91479005,290.91188,0.66259
2714,91479001,290.92635,0.66054
2715,91479004,290.93115,0.64363
2716,91479002,290.94307,0.65284
2718,68606004,294.97769,0.02694
2719,68606001,294.97823,-0.00209
2720,68606002,294.98112,0.02559
2721,68606005,294.98221,0.02072
2722,68606006,294.98368,0.02904
2729,32327001,298.81022,0.76778
2730,32327003,298.81243,0.75668
2731,32327005,298.82092,0.75413
2732,32327002,298.82322,0.75403
2733,32327006,298.84371,0.76086
2734,32327004,298.85053,0.76006
2744,41786005,302.08259,0.32186
2745,41786003,302.09428,0.33769
2747,41786004,302.1058,0.33638
2748,33804002,302.4382,-0.73122
2749,33804004,302.44568,-0.72417
2750,33804013,302.44664,-0.73536
2751,33804001,302.45047,-0.72493
2752,33804006,302.45052,-0.72888
2753,33804003,302.45617,-0.73398
2754,33804008,302.45716,-0.71339
2755,33762012,302.4676,-0.72625
2756,33762008,302.47107,-0.73601
2757,33804005,302.47354,-0.73321
2758,33762004,302.47536,-0.73019
2760,33762003,302.48089,-0.7278
2761,33762011,302.48206,-0.72637
2762,33762025,302.48213,-0.72579
2763,33762021,302.4822,-0.72731
2764,33762023,302.4824,-0.72418
2765,33762015,302.4826,-0.73068
2766,33762017,302.48279,-0.72711
2767,33762019,302.48337,-0.72545
2768,33804010,302.48415,-0.73402
2769,33762018,302.48454,-0.73159
2770,33804014,302.48482,-0.71268
2771,33762007,302.48519,-0.72861
2772,33762005,302.48559,-0.72576
2773,33762013,302.48719,-0.72532
2774,33762020,302.48736,-0.72167
2775,33762009,302.48835,-0.72428
2776,33762014,302.48866,-0.70608
2777,33762024,302.48964,-0.7299
2778,33804009,302.49001,-0.75577
2779,33804011,302.49073,-0.76991
2780,33762010,302.49634,-0.7243
2781,33762016,302.49664,-0.72762
2782,33762022,302.50393,-0.71689
2783,33804012,302.5094,-0.77923
2785,46556001,303.59206,-0.7525
2786,46556002,303.59786,-0.72794
2787,46556004,303.62359,-0.78307
2788,46556003,303.64657,-0.7893
2795,75094003,304.99516,0.05358
2797,75094002,305.0152,0.05281
2804,38683002,309.98495,0.01789
2813,38683001,310.0144,-0.01313
2823,30295027,310.01949,-0.89994
2824,30295030,310.02741,-0.93137
2825,30295005,310.03492,-0.8731
2826,30295006,310.03561,-0.87036
2827,30295040,310.04089,-0.87682
2830,30295013,310.04304,-0.89403
2831,30295034,310.04458,-0.88355
2834,30295009,310.04701,-0.87193
2835,30295019,310.04765,-0.88122
2836,30295031,310.04864,-0.86438
2837,30295033,310.04975,-0.8551
2838,30295025,310.05094,-0.87277
2839,30295001,310.0512,-0.86651
2840,30295024,310.05203,-0.88134
2842,30295021,310.05546,-0.88531
2843,30295032,310.05577,-0.86013
2845,30295015,310.06588,-0.87545
2846,30295026,310.066,-0.87844
2847,30295028,310.06771,-0.90042
2848,30295020,310.06838,-0.90734
2849,30295017,310.06962,-0.87921
2850,30295022,310.0701,-0.87653
2851,30295023,310.07117,-0.87561
2852,30295029,310.07415,-0.92193
2853,30295011,310.0758,-0.87307
2854,30295018,310.07666,-0.87443
2855,30295012,310.07695,-0.87825
2856,30295016,310.08177,-0.87537
2857,30295014,310.08205,-0.874
2859,45847003,310.54843,0.52143
2860,45847002,310.55013,0.52609
2861,503219005,310.77336,-0.71843
2862,503219004,310.77702,-0.73361
2863,503219006,310.78151,-0.73359
2864,503219002,310.78234,-0.73664
2865,503219007,310.78849,-0.74376
2866,503219003,310.80425,-0.73767
2867,503219001,310.8274,-0.72481
2868,503219000,310.83532,-0.7205
2869,85115007,310.81332,0.02844
2870,85115005,310.82181,0.00539
2871,85115006,310.84652,0.01849
2872,85115009,310.86751,0.09706
2874,85115010,310.87345,0.11355
2875,85115003,310.9039,-0.03815
2877,85115004,310.91301,-0.03284
2878,85115001,310.92087,0.01512
2901,33128001,105.0376,0.61011
2970,153469000,238.68987,-0.4555
2972,153471000,240.54153,0.39758
2976,44520001,281.33987,-1.08347
2978,44521002,281.63034,-1.21924
2979,44541001,281.74816,-0.35027
2980,44528002,281.75019,-0.97308
2981,44535001,281.84782,-0.70495
2982,44548001,281.89018,-0.09561
2983,44529001,281.96312,-1.05044
2984,44542001,281.99702,-0.48119
2985,44562001,282.13033,0.38334
2986,44530002,282.21821,-1.15201
2987,44569001,282.2516,0.64367
2988,44550001,282.33915,-0.35038
