index,obsid,RA_(J2000),Dec_(J2000)
346,90203005,86.57627,-0.08999
347,90203002,86.5792,-0.09832
348,31269002,86.58058,-0.0893
350,85475009,86.64483,1.17532
351,85475007,86.6499,1.18766
353,85475008,86.65877,1.16907
354,85475004,86.65887,1.19316
356,85475001,86.66941,1.17586
357,85475002,86.67261,1.18506
358,85475006,86.68564,1.12463
369,74100008,89.977,0.01387
400,74100010,90.00823,0.00034
430,84668004,91.21868,0.02438
431,84668005,91.22385,0.02414
432,84668003,91.23,-0.0077
433,84668002,91.2366,-0.01443
437,32223002,91.73439,-0.38254
438,32223003,91.73484,-0.3631
439,32223005,91.79842,-0.39366
440,32223004,91.8005,-0.3941
442,82474004,92.22824,-0.68359
444,82474005,92.23483,-0.69749
479,31635001,95.6271,-0.33255
480,31635003,95.63732,-0.32437
481,31635002,95.63957,-0.34163
482,31635004,95.64163,-0.34412
483,333320001,95.81217,-0.08589
484,333320000,95.84937,-0.08704
485,209351001,95.87212,-1.18874
486,209351000,95.87999,-1.17088
487,209351002,95.88347,-1.17746
488,209351004,95.89308,-1.18665
489,209351003,95.89785,-1.18129
490,209351005,95.90537,-1.17921
491,41322001,96.43725,0.03373
492,41322002,96.47062,0.03589
493,82967003,97.3008,-0.46974
495,82967002,97.33489,-0.49023
498,47638001,99.51621,-0.86457
499,47638002,99.52163,-0.86628
511,74154004,99.98093,-0.04565
522,74154002,100.02577,0.00561
523,74154001,100.02648,0.00618
526,74154003,100.04046,0.00521
527,67896002,100.0513,-0.00983
528,67896001,100.05211,-0.00907
530,41136004,101.11802,0.01713
532,41136002,101.16746,0.02114
533,41136005,101.1675,0.03912
534,41136007,101.16767,-0.01586
535,41136003,101.17227,0.04342
536,41136006,101.19717,0.01754
539,47167002,101.87222,0.56026
541,47167003,101.90788,0.5288
542,86677001,101.91999,1.15875
543,86677002,101.94892,1.17155
544,82175001,102.89277,0.49367
545,82175002,102.96292,0.48127
546,54600001,102.94173,-0.35948
547,67143002,102.94276,-0.39057
548,54600002,102.94312,-0.35955
549,67143001,102.94728,-0.37184
550,54700021,102.9592,-0.34038
551,54700018,102.98005,-0.37683
552,54700020,102.98153,-0.38338
557,54700003,103.00512,-0.36707
559,54700019,103.01942,-0.37014
564,54700002,103.03309,-0.37617
565,54700005,103.03347,-0.37544
567,54700017,103.04313,-0.35544
569,86884002,103.56918,-0.82369
570,86884001,103.57751,-0.82464
573,33126001,105.03709,1.01212
600,74187008,105.01169,0.00908
603,74187028,105.02054,0.01145
608,84933003,106.38907,-0.10356
609,84933005,106.40521,-0.10107
610,84933004,106.42357,-0.07086
613,275087006,107.2857,1.04178
614,275087003,107.29278,1.04094
615,275087004,107.29375,1.10016
616,275087002,107.29737,1.12158
617,275087005,107.30029,1.11133
618,275087007,107.30097,1.0433
619,275087001,107.32786,1.10698
620,275087000,107.32985,1.09901
625,67405003,109.97827,-0.0032
632,74854003,109.99151,0.03644
634,74854002,109.99625,0.00981
642,40383002,110.11168,-1.11393
643,40383003,110.11828,-1.09962
644,40383004,110.14364,-1.1037
651,35990002,111.4676,-0.90904
652,35990003,111.46803,-0.90575
675,371050000,117.68825,-0.63134
676,371050005,117.69611,-0.65809
677,371050001,117.70622,-0.65905
678,371050003,117.71359,-0.66239
