,Target_Name,obsid,obs_chunk,RA_(J2000),Dec_(J2000),start_time,processing_date,xrt_exposure,uvot_exposure,bat_exposure,archive_date,Eclip_LONG,Eclip_LAT,GroupID,GroupSize
820,RMJ085436.6+003,83886004,1.0,133.60782,0.61965,2014-02-28 18:38:00,"Mar 10, 2014",617.318,617.413,625.0,"Mar 11, 2014",135.889427758,-16.1457910514,72.0,11.0
821,RMJ085436.6+003,83886007,2.0,133.61852,0.66386,2014-06-09 13:49:00,"Jun 19, 2014",168.68,181.458,189.0,"Jun 20, 2014",135.886957176,-16.1003667391,72.0,11.0
822,RMJ085436.6+003,83886008,2.0,133.62069,0.63905,2014-06-15 05:32:00,"Jun 25, 2014",966.244,963.064,992.0,"Jun 26, 2014",135.896497939,-16.1235233661,72.0,11.0
823,RMJ085436.6+003,83886010,2.0,133.62107,0.63105,2014-06-18 03:59:00,"Jun 28, 2014",360.517,359.375,368.0,"Jun 29, 2014",135.899255914,-16.1310814816,72.0,11.0
824,RMJ085436.6+003,83886006,1.0,133.62148,0.63286,2014-03-10 00:51:00,"Mar 20, 2014",424.348,426.29,535.0,"Mar 21, 2014",135.899126654,-16.1292297763,72.0,11.0
825,RMJ085436.6+003,83886005,1.0,133.62293,0.62104,2014-03-05 18:37:00,"Mar 15, 2014",400.627,401.245,411.0,"Mar 16, 2014",135.904088309,-16.1401429894,72.0,11.0
826,RMJ085436.6+003,83886001,1.0,133.62958,0.65021,2014-02-09 09:09:00,"Feb 19, 2014",238.065,236.071,243.0,"Feb 20, 2014",135.902046963,-16.1102889708,72.0,11.0
827,RMJ085436.6+003,83886011,2.0,133.63219,0.62675,2014-06-21 12:09:00,"Jul 1, 2014",369.106,369.636,377.0,"Jul 2, 2014",135.911627399,-16.1320254875,72.0,11.0
828,RMJ085436.6+003,83886009,2.0,133.63435,0.68686,2014-06-17 21:37:00,"Jun 27, 2014",250.181,248.936,256.0,"Jun 28, 2014",135.895907562,-16.073803685,72.0,11.0
829,SWIFTJ0856.1+00,39858002,1.0,134.01796,0.89015,2010-10-09 12:19:00,"Oct 15, 2010",9352.193,9334.789,9203.0,"Oct 16, 2010",136.217516901,-15.7691619279,73.0,2.0
830,SWIFTJ0856.1+00,39858001,1.0,134.04545,0.87631,2010-10-07 10:46:00,"Oct 13, 2010",418.079,416.272,435.0,"Oct 14, 2010",136.249006546,-15.7745217239,73.0,2.0
834,SAA-COLD-269-01,75403013,1.0,134.94752,-0.04314,2012-09-25 07:40:00,"Oct 1, 2012",104.292,0.0,1222.0,"Oct 6, 2012",137.425055609,-16.3926959011,75.0,23.0
835,SAA-COLD-174-07,75403009,1.0,134.9561,-0.00047,2011-06-23 18:30:00,"Jun 29, 2011",52.146,0.0,136.0,"Jun 30, 2011",137.420579344,-16.3493842367,75.0,23.0
836,SAA-COLD-172-07,75403019,2.0,134.9645,-0.0406,2013-09-25 09:07:00,"Oct 5, 2013",72.428,0.0,435.0,"Oct 6, 2013",137.441202578,-16.3852929124,75.0,23.0
837,SAA-COLD-173-7,75403004,1.0,134.97092,0.01717,2010-06-22 20:04:00,"Jun 28, 2010",228.076,0.0,312.0,"Jun 29, 2010",137.429961033,-16.3281768932,75.0,23.0
838,SAA-COLD-148-06,75403025,1.0,134.97465,0.01459,2016-06-01 18:32:00,"Jun 11, 2016",17.984,0.0,507.0,"Jun 12, 2016",137.434464875,-16.3295509825,75.0,23.0
840,SAA-COLD-172-07,75403015,1.0,134.97688,0.01161,2013-06-22 20:56:00,"Jul 3, 2013",82.035,0.0,229.0,"Jul 3, 2013",137.437596423,-16.3317468954,75.0,23.0
841,SAA-COLD-172-07,75403018,2.0,134.97694,-0.01546,2013-09-25 07:48:00,"Oct 5, 2013",0.0,0.0,43.0,"Oct 6, 2013",137.445921724,-16.3576112903,75.0,23.0
842,SAA-COLD-269-01,75403012,1.0,134.97777,-0.02318,2012-09-25 06:03:00,"Oct 1, 2012",30.797,0.0,506.0,"Oct 6, 2012",137.449106414,-16.364749206,75.0,23.0
843,SAA-COLD-148-06,75403024,1.0,134.97842,-0.00396,2016-05-27 18:59:00,"Jun 6, 2016",57.236,0.0,1036.0,"Jun 7, 2016",137.443884713,-16.3461823844,75.0,23.0
846,SAA-COLD-172-07,75403014,1.0,134.98233,0.01686,2013-06-21 20:54:00,"Jul 1, 2013",46.809,0.0,179.0,"Jul 2, 2013",137.441423426,-16.3251305001,75.0,23.0
847,SAA-COLD-174-07,75403010,1.0,134.9824,0.00838,2011-06-23 20:13:00,"Jun 29, 2011",45.741,0.0,62.0,"Jun 30, 2011",137.444082275,-16.3332178156,75.0,23.0
849,SAA-COLD-172-07,75403021,3.0,134.99406,-0.00213,2014-06-23 18:22:00,"Jul 3, 2014",14.788,0.0,278.0,"Jul 4, 2014",137.458908892,-16.339849515,75.0,23.0
850,SAA-COLD-172-07,75403017,1.0,134.9988,-0.00207,2013-06-23 20:59:00,"Jul 4, 2013",27.593,0.0,297.0,"Jul 4, 2013",137.463613137,-16.3384029018,75.0,23.0
851,SAA-COLD-172-07,75403020,3.0,134.99884,0.00218,2014-06-22 20:05:00,"Jul 2, 2014",69.223,0.0,318.0,"Jul 3, 2014",137.462354914,-16.3343278282,75.0,23.0
852,SAA-COLD-172-07,75403022,3.0,135.00266,-0.00141,2014-06-23 20:05:00,"Jul 3, 2014",4.107,0.0,230.0,"Jul 4, 2014",137.467257295,-16.3366404857,75.0,23.0
