Tile,MagType,Error,MagErr_Box,MagErr_Fit
S82m22p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.8425307734,-0.609437912434
S82m22p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m22p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.3667607956
S82m22p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.4753603999
S82m32m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8186771209,24.4743607445
S82m32m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.6734380577
S82m32m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8387734117,24.5289841626
S82m32m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.7326348904
S82m32m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.4111690612,-0.609437912434
S82m32m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m32m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,24.9030853492
S82m32m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.0041949201
S82m6m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.6166666442,24.5357772917
S82m6m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7337528286
S82m6m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.6261773388,24.5657923973
S82m6m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.7614997124
S82m6m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5345567018,-0.609437912434
S82m6m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m6m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.108909717,25.2012451819
S82m6m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.2327290271
S82m34p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.5767791362,24.3089018401
S82m34p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.4891076113
S82m34p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.5937113923,24.3611651973
S82m34p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.5462163144
S82m34p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.3489512484,-0.609437912434
S82m34p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m34p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,24.8088241303
S82m34p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,25.9180691045
S82p39m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9898801616,24.7615907948
S82p39m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.015734832
S82p39m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0114628297,24.801496738
S82p39m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0501636294
S82p39m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.7565133468,-0.609437912434
S82p39m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p39m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.2057828423
S82p39m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.2887238197
S82p34m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7133487508,24.4268785269
S82p34m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.6817322889
S82p34m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.6842934134,24.4633565325
S82p34m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.7123416404
S82p34m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.4381210873,-0.609437912434
S82p34m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p34m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,24.8535732254
S82p34m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,25.9180035409
S82p43p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0020279314,24.8707089549
S82p43p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.1060239446
S82p43p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0043375043,24.8978480533
S82p43p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.1300138838
S82p43p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,24.0149278981,-0.609437912434
S82p43p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
