file,missing_value,month,units,year
gpcp_1dd_v1.2_p1d.199712_data_monthlyMean.npy,-99999.,12,mm/day,1997
gpcp_1dd_v1.2_p1d.201306_data_monthlyMean.npy,-99999.,06,mm/day,2013
gpcp_1dd_v1.2_p1d.200011_data_monthlyMean.npy,-99999.,11,mm/day,2000
gpcp_1dd_v1.2_p1d.201402_data_monthlyMean.npy,-99999.,02,mm/day,2014
gpcp_1dd_v1.2_p1d.200802_data_monthlyMean.npy,-99999.,02,mm/day,2008
gpcp_1dd_v1.2_p1d.201401_data_monthlyMean.npy,-99999.,01,mm/day,2014
gpcp_1dd_v1.2_p1d.199801_data_monthlyMean.npy,-99999.,01,mm/day,1998
gpcp_1dd_v1.2_p1d.199707_data_monthlyMean.npy,-99999.,07,mm/day,1997
gpcp_1dd_v1.2_p1d.200009_data_monthlyMean.npy,-99999.,09,mm/day,2000
gpcp_1dd_v1.2_p1d.200108_data_monthlyMean.npy,-99999.,08,mm/day,2001
gpcp_1dd_v1.2_p1d.201407_data_monthlyMean.npy,-99999.,07,mm/day,2014
gpcp_1dd_v1.2_p1d.199909_data_monthlyMean.npy,-99999.,09,mm/day,1999
gpcp_1dd_v1.2_p1d.199701_data_monthlyMean.npy,-99999.,01,mm/day,1997
gpcp_1dd_v1.2_p1d.200510_data_monthlyMean.npy,-99999.,10,mm/day,2005
gpcp_1dd_v1.2_p1d.199912_data_monthlyMean.npy,-99999.,12,mm/day,1999
gpcp_1dd_v1.2_p1d.200206_data_monthlyMean.npy,-99999.,06,mm/day,2002
gpcp_1dd_v1.2_p1d.200010_data_monthlyMean.npy,-99999.,10,mm/day,2000
gpcp_1dd_v1.2_p1d.199709_data_monthlyMean.npy,-99999.,09,mm/day,1997
gpcp_1dd_v1.2_p1d.200112_data_monthlyMean.npy,-99999.,12,mm/day,2001
gpcp_1dd_v1.2_p1d.201501_data_monthlyMean.npy,-99999.,01,mm/day,2015
gpcp_1dd_v1.2_p1d.200506_data_monthlyMean.npy,-99999.,06,mm/day,2005
gpcp_1dd_v1.2_p1d.201412_data_monthlyMean.npy,-99999.,12,mm/day,2014
gpcp_1dd_v1.2_p1d.200806_data_monthlyMean.npy,-99999.,06,mm/day,2008
gpcp_1dd_v1.2_p1d.200905_data_monthlyMean.npy,-99999.,05,mm/day,2009
gpcp_1dd_v1.2_p1d.199711_data_monthlyMean.npy,-99999.,11,mm/day,1997
gpcp_1dd_v1.2_p1d.201011_data_monthlyMean.npy,-99999.,11,mm/day,2010
gpcp_1dd_v1.2_p1d.200411_data_monthlyMean.npy,-99999.,11,mm/day,2004
gpcp_1dd_v1.2_p1d.199809_data_monthlyMean.npy,-99999.,09,mm/day,1998
gpcp_1dd_v1.2_p1d.199805_data_monthlyMean.npy,-99999.,05,mm/day,1998
gpcp_1dd_v1.2_p1d.200610_data_monthlyMean.npy,-99999.,10,mm/day,2006
gpcp_1dd_v1.2_p1d.201510_data_monthlyMean.npy,-99999.,10,mm/day,2015
gpcp_1dd_v1.2_p1d.199811_data_monthlyMean.npy,-99999.,11,mm/day,1998
gpcp_1dd_v1.2_p1d.200710_data_monthlyMean.npy,-99999.,10,mm/day,2007
gpcp_1dd_v1.2_p1d.201311_data_monthlyMean.npy,-99999.,11,mm/day,2013
gpcp_1dd_v1.2_p1d.200003_data_monthlyMean.npy,-99999.,03,mm/day,2000
gpcp_1dd_v1.2_p1d.200805_data_monthlyMean.npy,-99999.,05,mm/day,2008
gpcp_1dd_v1.2_p1d.200106_data_monthlyMean.npy,-99999.,06,mm/day,2001
gpcp_1dd_v1.2_p1d.200102_data_monthlyMean.npy,-99999.,02,mm/day,2001
gpcp_1dd_v1.2_p1d.200109_data_monthlyMean.npy,-99999.,09,mm/day,2001
gpcp_1dd_v1.2_p1d.201201_data_monthlyMean.npy,-99999.,01,mm/day,2012
gpcp_1dd_v1.2_p1d.201305_data_monthlyMean.npy,-99999.,05,mm/day,2013
gpcp_1dd_v1.2_p1d.200907_data_monthlyMean.npy,-99999.,07,mm/day,2009
gpcp_1dd_v1.2_p1d.199705_data_monthlyMean.npy,-99999.,05,mm/day,1997
gpcp_1dd_v1.2_p1d.200303_data_monthlyMean.npy,-99999.,03,mm/day,2003
gpcp_1dd_v1.2_p1d.200704_data_monthlyMean.npy,-99999.,04,mm/day,2007
gpcp_1dd_v1.2_p1d.201210_data_monthlyMean.npy,-99999.,10,mm/day,2012
gpcp_1dd_v1.2_p1d.200708_data_monthlyMean.npy,-99999.,08,mm/day,2007
gpcp_1dd_v1.2_p1d.200604_data_monthlyMean.npy,-99999.,04,mm/day,2006
gpcp_1dd_v1.2_p1d.199911_data_monthlyMean.npy,-99999.,11,mm/day,1999
gpcp_1dd_v1.2_p1d.201506_data_monthlyMean.npy,-99999.,06,mm/day,2015
gpcp_1dd_v1.2_p1d.200304_data_monthlyMean.npy,-99999.,04,mm/day,2003
gpcp_1dd_v1.2_p1d.200701_data_monthlyMean.npy,-99999.,01,mm/day,2007
gpcp_1dd_v1.2_p1d.200208_data_monthlyMean.npy,-99999.,08,mm/day,2002
gpcp_1dd_v1.2_p1d.200309_data_monthlyMean.npy,-99999.,09,mm/day,2003
gpcp_1dd_v1.2_p1d.200903_data_monthlyMean.npy,-99999.,03,mm/day,2009
gpcp_1dd_v1.2_p1d.201110_data_monthlyMean.npy,-99999.,10,mm/day,2011
gpcp_1dd_v1.2_p1d.199907_data_monthlyMean.npy,-99999.,07,mm/day,1999
gpcp_1dd_v1.2_p1d.200507_data_monthlyMean.npy,-99999.,07,mm/day,2005
gpcp_1dd_v1.2_p1d.200803_data_monthlyMean.npy,-99999.,03,mm/day,2008
gpcp_1dd_v1.2_p1d.200006_data_monthlyMean.npy,-99999.,06,mm/day,2000
gpcp_1dd_v1.2_p1d.200406_data_monthlyMean.npy,-99999.,06,mm/day,2004
gpcp_1dd_v1.2_p1d.200412_data_monthlyMean.npy,-99999.,12,mm/day,2004
gpcp_1dd_v1.2_p1d.200809_data_monthlyMean.npy,-99999.,09,mm/day,2008
gpcp_1dd_v1.2_p1d.200408_data_monthlyMean.npy,-99999.,08,mm/day,2004
gpcp_1dd_v1.2_p1d.200612_data_monthlyMean.npy,-99999.,12,mm/day,2006
gpcp_1dd_v1.2_p1d.200505_data_monthlyMean.npy,-99999.,05,mm/day,2005
gpcp_1dd_v1.2_p1d.201206_data_monthlyMean.npy,-99999.,06,mm/day,2012
gpcp_1dd_v1.2_p1d.200212_data_monthlyMean.npy,-99999.,12,mm/day,2002
gpcp_1dd_v1.2_p1d.200305_data_monthlyMean.npy,-99999.,05,mm/day,2003
gpcp_1dd_v1.2_p1d.199906_data_monthlyMean.npy,-99999.,06,mm/day,1999
gpcp_1dd_v1.2_p1d.200901_data_monthlyMean.npy,-99999.,01,mm/day,2009
gpcp_1dd_v1.2_p1d.201208_data_monthlyMean.npy,-99999.,08,mm/day,2012
gpcp_1dd_v1.2_p1d.200401_data_monthlyMean.npy,-99999.,01,mm/day,2004
gpcp_1dd_v1.2_p1d.201505_data_monthlyMean.npy,-99999.,05,mm/day,2015
gpcp_1dd_v1.2_p1d.200711_data_monthlyMean.npy,-99999.,11,mm/day,2007
gpcp_1dd_v1.2_p1d.200503_data_monthlyMean.npy,-99999.,03,mm/day,2005
gpcp_1dd_v1.2_p1d.201007_data_monthlyMean.npy,-99999.,07,mm/day,2010
gpcp_1dd_v1.2_p1d.201307_data_monthlyMean.npy,-99999.,07,mm/day,2013
gpcp_1dd_v1.2_p1d.201212_data_monthlyMean.npy,-99999.,12,mm/day,2012
gpcp_1dd_v1.2_p1d.200810_data_monthlyMean.npy,-99999.,10,mm/day,2008
gpcp_1dd_v1.2_p1d.199812_data_monthlyMean.npy,-99999.,12,mm/day,1998
gpcp_1dd_v1.2_p1d.200007_data_monthlyMean.npy,-99999.,07,mm/day,2000
gpcp_1dd_v1.2_p1d.200706_data_monthlyMean.npy,-99999.,06,mm/day,2007
gpcp_1dd_v1.2_p1d.201405_data_monthlyMean.npy,-99999.,05,mm/day,2014
gpcp_1dd_v1.2_p1d.200702_data_monthlyMean.npy,-99999.,02,mm/day,2007
gpcp_1dd_v1.2_p1d.201104_data_monthlyMean.npy,-99999.,04,mm/day,2011
gpcp_1dd_v1.2_p1d.201301_data_monthlyMean.npy,-99999.,01,mm/day,2013
gpcp_1dd_v1.2_p1d.201310_data_monthlyMean.npy,-99999.,10,mm/day,2013
gpcp_1dd_v1.2_p1d.199706_data_monthlyMean.npy,-99999.,06,mm/day,1997
gpcp_1dd_v1.2_p1d.201107_data_monthlyMean.npy,-99999.,07,mm/day,2011
gpcp_1dd_v1.2_p1d.201009_data_monthlyMean.npy,-99999.,09,mm/day,2010
gpcp_1dd_v1.2_p1d.200603_data_monthlyMean.npy,-99999.,03,mm/day,2006
gpcp_1dd_v1.2_p1d.200502_data_monthlyMean.npy,-99999.,02,mm/day,2005
gpcp_1dd_v1.2_p1d.200201_data_monthlyMean.npy,-99999.,01,mm/day,2002
gpcp_1dd_v1.2_p1d.201103_data_monthlyMean.npy,-99999.,03,mm/day,2011
gpcp_1dd_v1.2_p1d.200211_data_monthlyMean.npy,-99999.,11,mm/day,2002
gpcp_1dd_v1.2_p1d.199806_data_monthlyMean.npy,-99999.,06,mm/day,1998
gpcp_1dd_v1.2_p1d.201112_data_monthlyMean.npy,-99999.,12,mm/day,2011
gpcp_1dd_v1.2_p1d.201012_data_monthlyMean.npy,-99999.,12,mm/day,2010
gpcp_1dd_v1.2_p1d.201209_data_monthlyMean.npy,-99999.,09,mm/day,2012
