,OBJECT,RA,DEC,DOI,FITS
112,IC310,49.1792708,41.3247667,http://dx.doi.org/10.1088/2041-8205/723/2/L207,FITS_out/MAGIC_2010_IC310_SPECTRUM.fits
113,PKS 1222+21,186.22692,21.3795625,http://dx.doi.org/10.1088/2041-8205/730/1/L8,FITS_out/MAGIC_2011_PKS1222_SPECTRUM.fits
114,PKS 1222+21,186.22692,21.3795625,http://dx.doi.org/10.1088/2041-8205/730/1/L8,FITS_out/MAGIC_2011_PKS1222_SPECTRUM_1.fits
117,GRB090102,128.247917,33.107139,http://dx.doi.org/10.1093/mnras/stt2041,FITS_out/MAGIC_2014_GRB090102_SPECTRUM.fits
118,4C +55.17,149.409093792,55.382703778,http://dx.doi.org/10.1093/mnras/stu227,FITS_out/MAGIC_2014_4C+5517_SPECTRUM.fits
119,1ES 0806+524,122.454944708,52.31618075,http://dx.doi.org/10.1093/mnras/stv895,FITS_out/MAGIC_2015_1ES0806_SPECTRUM.fits
120,1ES 0806+524,122.454944708,52.31618075,http://dx.doi.org/10.1093/mnras/stv895,FITS_out/MAGIC_2015_1ES0806_SPECTRUM_1.fits
121,1ES 0806+524,122.454944708,52.31618075,http://dx.doi.org/10.1093/mnras/stv895,FITS_out/MAGIC_2015_1ES0806_SPECTRUM_2.fits
122,1ES 0806+524,122.454944708,52.31618075,http://dx.doi.org/10.1093/mnras/stv895,FITS_out/MAGIC_2015_1ES0806_SPECTRUM_3.fits
123,OJ287,133.703645542,20.108511389,http://dx.doi.org/10.1093/pasj/61.5.1011,FITS_out/MAGIC_2009_OJ287_SPECTRUM.fits
124,OJ287,133.703645542,20.108511389,http://dx.doi.org/10.1093/pasj/61.5.1011,FITS_out/MAGIC_2009_OJ287_SPECTRUM_1.fits
125,LS I +61 303,40.131938163,61.229336515,http://dx.doi.org/10.1126/science.1128177,FITS_out/MAGIC_2006_LSI61303_SPECTRUM.fits
126,Ic310,49.1792708,41.3247667,http://dx.doi.org/10.1126/science.1256183,FITS_out/MAGIC_2014_Ic310_SPECTRUM.fits
127,Ic310,49.1792708,41.3247667,http://dx.doi.org/10.1126/science.1256183,FITS_out/MAGIC_2014_Ic310_SPECTRUM_1.fits
128,3C279,194.046527375,-5.789312417,http://www.sciencemag.org/content/320/5884/1752.full?ijkey=HGJBqCL4/TkLM&keytype=ref&siteid=sci,FITS_out/MAGIC_2008_3C279_SPECTRUM.fits
129,3C279,194.046527375,-5.789312417,http://www.sciencemag.org/content/320/5884/1752.full?ijkey=HGJBqCL4/TkLM&keytype=ref&siteid=sci,FITS_out/MAGIC_2008_3C279_SPECTRUM_1.fits
130,3C279,194.046527375,-5.789312417,http://www.sciencemag.org/content/320/5884/1752.full?ijkey=HGJBqCL4/TkLM&keytype=ref&siteid=sci,FITS_out/MAGIC_2008_3C279_SPECTRUM_2.fits
